ABC;Aeropuerto de Albacete;Albacete;Espana
AEP;Aeroparque Jorge Newbery;Buenos Aires;Argentina
AFA;Aeropuerto Internacional Suboficial Ayudante Santiago Germano;San Rafael;Argentina
AGP;Aeropuerto de Malaga;Malaga;Espana
AGT;Aeropuerto Internacional Guarani;Ciudad del Este;Paraguay
AMS;Aeropuerto de amsterdam;amsterdam;Paises Bajos
ANF;Aeropuerto Cerro Moreno;Antofagasta;Chile
AOL;Aeropuerto Internacional de Paso de los Libres;Paso de los Libres;Argentina
ARI;Aeropuerto Internacional Chacalluta;Arica;Chile
ARN;Aeropuerto de Estocolmo;Estocolmo;Suecia
ASU;Aeropuerto Internacional Silvio Pettirossi;Asuncion;Paraguay
ATH;Aeropuerto Internacional Eleftherios Venizelos;Atenas;Grecia
AUA;Aeropuerto Internacional Reina Beatrix;Oranjestad;Paises Bajos
BBA;Aerodromo Balmaceda;Balmaceda;Chile
BCN;Aeropuerto de Barcelona;Barcelona;Espana
BIN;Aeropuerto de Bamiyan;Bamiyan;Afganistan
BIO;Aeropuerto de Bilbao;Bilbao;Espana
BOD;Aeropuerto de Burdeos;Burdeos;Francia
BOG;Aeropuerto Internacional El Dorado;Bogota;Colombia
BPM;Base Aerea de Bagram;Bagram;Afganistan
BRC;Aeropuerto Internacional Teniente Luis Candelaria;San Carlos de Bariloche;Argentina
BSL;Aeropuerto de Basilea;Basilea;Francia
BST;Aeropuerto de Bost;Lashkar Gah;Afganistan
BUD;Aeropuerto de Budapest;Budapest;Hungria
COR;Aeropuerto Internacional Ing Ambrosio Taravella;Cordoba;Argentina
CDT;Aeropuerto de Castellon;Castellon;Espana
CCC;Aeropuerto Internacional de Jardines del Rey;Cayo Coco;Cuba
CCP;Aeropuerto Carriel Sur;Concepcion;Chile
CCS;Aeropuerto Internacional de Maiquetia Simon Bolivar;Caracas;Venezuela
CDG;Aeropuerto de Paris;Paris;Francia
CGN;Aeropuerto Internacional de Colonia;Colonia;Alemania
CLO;Aeropuerto Internacional Bonilla Aragon;Cali;Colombia
